id,source,title,tags,confidence,caption
heme-hematopoiesis-2026-revised-s10-01,Hematopoiesis_2026_revised.pptx,Hematopoiesis_2026_revised Slide 10,,low,
heme-hematopoiesis-2026-revised-s18-01,Hematopoiesis_2026_revised.pptx,Hematopoiesis_2026_revised Slide 18,fluorescence-activated|cell|sorting,low,CD45 CD34 A CD34+ CD45+ Fluorescence-activated cell sorting Flow Cytometry
heme-hematopoiesis-2026-revised-s18-02,Hematopoiesis_2026_revised.pptx,Hematopoiesis_2026_revised Slide 18,fluorescence-activated|cell|sorting,low,CD45 CD34 A CD34+ CD45+ Fluorescence-activated cell sorting Flow Cytometry
heme-hematopoiesis-2026-revised-s27-01,Hematopoiesis_2026_revised.pptx,Hematopoiesis_2026_revised Slide 27,hsc|cfu-gemm|bfu-e,low,"CD34+, CD117+ HSC CFU-GEMM BFU-E CD34-, GPA, CD71 Erythropoeisis Erythroid Progenitors Committed precursor Maturation In bone-marrow In peripheral blood CD34+, "
heme-hematopoiesis-2026-revised-s27-02,Hematopoiesis_2026_revised.pptx,Hematopoiesis_2026_revised Slide 27,hsc|cfu-gemm|bfu-e,low,"CD34+, CD117+ HSC CFU-GEMM BFU-E CD34-, GPA, CD71 Erythropoeisis Erythroid Progenitors Committed precursor Maturation In bone-marrow In peripheral blood CD34+, "
heme-hematopoiesis-2026-revised-s28-01,Hematopoiesis_2026_revised.pptx,Hematopoiesis_2026_revised Slide 28,erythropoeisis|maturation,low,Erythropoeisis Maturation
heme-hematopoiesis-2026-revised-s29-01,Hematopoiesis_2026_revised.pptx,Hematopoiesis_2026_revised Slide 29,granulocytes|erythrocytes|monocytes,low,"CD34+, CD33+ (Granulocytes/Erythrocytes/ Monocytes/Megakaryocytes) “Common Myeloid Progenitor” CD34+,CD33+, CD13+ CFU-GM CFU-GEMM HSC CFU-G CD34+, CD117+ Granul"
heme-hematopoiesis-2026-revised-s29-02,Hematopoiesis_2026_revised.pptx,Hematopoiesis_2026_revised Slide 29,granulocytes|erythrocytes|monocytes,low,"CD34+, CD33+ (Granulocytes/Erythrocytes/ Monocytes/Megakaryocytes) “Common Myeloid Progenitor” CD34+,CD33+, CD13+ CFU-GM CFU-GEMM HSC CFU-G CD34+, CD117+ Granul"
heme-hematopoiesis-2026-revised-s30-01,Hematopoiesis_2026_revised.pptx,Hematopoiesis_2026_revised Slide 30,bfu-mk|megakaryocytopoiesis|granulocytes,low,"BFU-MK CD33+, CD41+, CD42+, CD61+, CD34- Megakaryocytopoiesis CD34+, CD33+ (Granulocytes/Erythrocytes/ Monocytes/Megakaryocytes) “Common Myeloid Progenitor” CFU"
heme-hematopoiesis-2026-revised-s36-01,Hematopoiesis_2026_revised.pptx,Hematopoiesis_2026_revised Slide 36,clinic|growth|factors,low,In the clinic.. growth factors as drugs Erythropoietin (EPO) epoetin alfa - ‘Procrit’ darbopoetin alfa - ‘Aranesp’ G-CSF filgrastim - ‘Neupogen’ pegfilgrastim -
heme-hematopoiesis-2026-revised-s38-01,Hematopoiesis_2026_revised.pptx,Hematopoiesis_2026_revised Slide 38,regulation|erythropoietin|hypoxia,low,"Regulation of Erythropoietin Hypoxia In normoxic conditions, O2-dependant enzyme proline-hydroxylase hydoxylates HIF-α, effecting binding of the von Hippel-Land"
heme-hematopoiesis-2026-revised-s48-01,Hematopoiesis_2026_revised.pptx,Hematopoiesis_2026_revised Slide 48,osteoblasts|sinusoid|hsc,low,Osteoblasts Sinusoid HSC Stem cell transplantation Stem cell ‘niche’
heme-mpns-2-s10-01,MPNs (2).pptx,Patient Case,Patient Case|year-old|woman|evaluated,low,A 60-year-old woman is evaluated for right-sided mid back pain of 2 months' duration. Medical history is significant for hypertension treated with hydrochloroth
heme-mpns-2-s22-01,MPNs (2).pptx,Patient Case,Patient Case|year-old|woman|evaluated,low,A 70-year-old woman is evaluated for anemia discovered during a preoperative assessment for total hip arthroplasty. She has no other medical problems and has no
heme-mpns-2-s39-01,MPNs (2).pptx,Patient Case,Patient Case|year-old|woman|evaluated,low,"A 45-year-old woman is evaluated for a 4-month history of night sweats, fatigue, and a 4.1-kg (9-lb) weight loss. Physical examination reveals conjunctival pall"
heme-red-cell-presentation-7th-jan-1-s05-01,Red cell presentation 7th Jan (1).pptx,Red cell presentation 7th Jan (1) Slide 5,sinclair|erythropoiesis|stimulating,low,"Sinclair AM. Erythropoiesis stimulating agents: approaches to modulate activity. Biologics. 2013;7:161-174. →Colony forming unit-granulocyte, erythroid, macroph"
