id,source,title,tags,confidence,caption
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s05-01,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 5,,low,| 5 2/11/25
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s06-01,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 6,peto|bmj|cessation,low,"12/12/2023 Peto, BMJ 2000; 321:323-9. As cessation time increases, lung cancer risk decreases substantially but always higher than never smokers Lung Cancer Ris"
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s06-02,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 6,peto|bmj|cessation,low,"12/12/2023 Peto, BMJ 2000; 321:323-9. As cessation time increases, lung cancer risk decreases substantially but always higher than never smokers Lung Cancer Ris"
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s09-01,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 9,,low,
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s19-01,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 19,,low,
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s19-02,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 19,,low,
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s20-01,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 20,,low,
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s20-02,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 20,,low,
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s24-01,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 24,diagnosis|overnight|polysomnography,low,Diagnosis Overnight polysomnography Attenuated sleep studies – Home sleep tests Sleep Disordered Breathing
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s39-01,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 39,macroscopic|appearance|subpleural,low,Macroscopic Appearance Subpleural fibrosis with dilated air spaces (honeycombing) Involvement of lower lobes initially in IPF
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s39-02,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 39,macroscopic|appearance|subpleural,low,Macroscopic Appearance Subpleural fibrosis with dilated air spaces (honeycombing) Involvement of lower lobes initially in IPF
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s41-01,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 41,cellular|fibrosing|nsip,low,Cellular and fibrosing NSIP
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s48-01,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 48,silicosis|silica|reacts,low,"Silicosis Silica reacts with macrophages leading to activation and secretion of mediators, recruitment of fibroblasts and fibrosis Toxic to macrophages leading "
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s54-01,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 54,asbestosis|interstitial|fibrosis,low,Asbestosis Interstitial fibrosis which tends to involve lower lobes initially Heterogenous histology with preserved lung and areas of fibrotic lung tissue Asbes
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s55-01,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 55,asbestos|associated|pleural,low,Asbestos Associated Pleural Disease Separate lectures will cover Pleural effusions – early sign Pleural plaques Diffuse pleural fibrosis Mesotheliomas 7-10% of 
pulm-aecom-exam-2-review-2025-2-10-25-with-recording-s55-02,AECOM Exam 2 review 2025 2.10.25 with recording.pptx,AECOM Exam 2 review 2025 2.10.25 with recording Slide 55,asbestos|associated|pleural,low,Asbestos Associated Pleural Disease Separate lectures will cover Pleural effusions – early sign Pleural plaques Diffuse pleural fibrosis Mesotheliomas 7-10% of 
pulm-aecom-exam-2-review-2025-2-10-25-s06-01,AECOM Exam 2 review 2025 2.10.25.pptx,AECOM Exam 2 review 2025 2.10.25 Slide 6,peto|bmj|cessation,low,"12/12/2023 Peto, BMJ 2000; 321:323-9. As cessation time increases, lung cancer risk decreases substantially but always higher than never smokers Lung Cancer Ris"
pulm-aecom-exam-2-review-2025-2-10-25-s19-01,AECOM Exam 2 review 2025 2.10.25.pptx,AECOM Exam 2 review 2025 2.10.25 Slide 19,,low,
pulm-aecom-exam-2-review-2025-2-10-25-s20-01,AECOM Exam 2 review 2025 2.10.25.pptx,AECOM Exam 2 review 2025 2.10.25 Slide 20,,low,
pulm-aecom-exam-2-review-2025-2-10-25-s39-01,AECOM Exam 2 review 2025 2.10.25.pptx,AECOM Exam 2 review 2025 2.10.25 Slide 39,macroscopic|appearance|subpleural,low,Macroscopic Appearance Subpleural fibrosis with dilated air spaces (honeycombing) Involvement of lower lobes initially in IPF
pulm-aecom-exam-2-review-2025-2-10-25-s55-01,AECOM Exam 2 review 2025 2.10.25.pptx,AECOM Exam 2 review 2025 2.10.25 Slide 55,asbestos|associated|pleural,low,Asbestos Associated Pleural Disease Separate lectures will cover Pleural effusions – early sign Pleural plaques Diffuse pleural fibrosis Mesotheliomas 7-10% of 
pulm-aecom-sarcoidosis-ay2425-s03-01,AECOM Sarcoidosis AY2425.pptx,Case Presentation,Case Presentation|year-old|female|presents,low,A 40-year-old female presents to a pulmonologist because she had a chest x-ray for work clearance and bilateral hilar adenopathy was seen. She is in her usual s
pulm-aecom-sarcoidosis-ay2425-s19-01,AECOM Sarcoidosis AY2425.pptx,Differential Diagnoses for Noncaseating Granulomas,Differential Diagnoses for Noncaseating Granulomas|liver|granulomas|almost,low,"In liver, granulomas are almost always noncaseating In skin, noncaseating granulomas can be seen as a reaction to a foreign body (e.g. splinter) Not all granulo"
pulm-aecom-tobacco-cessation-2026-s60-01,AECOM Tobacco Cessation 2026.pptx,AECOM Tobacco Cessation 2026 Slide 60,engl|med|nejm,low,"| 60 2/3/26 n engl j med 387;4 nejm.org July 28, 2022"
